,batsman,opponent_team,venue,50+ on ground,100+ on ground,avg_runs_ground,avg_runs_to_opponent,50+_runs_against_opponent,100+_runs_against_opponent,player_strength
3104,SV Samson,Royal Challengers Bangalore,Sheikh Zayed Stadium,1,0,21.2,18.5,1,0,15.533333333333331
3105,V Kohli,Rajasthan Royals,Sheikh Zayed Stadium,1,0,26.8,27.692307692307693,3,0,51.58490566037736
3106,AD Russell,Delhi Capitals,Sharjah Cricket Stadium,0,0,14.5,28.875,1,0,23.05
3107,EJG Morgan,Delhi Capitals,Sharjah Cricket Stadium,0,0,15.714285714285714,12.2,0,0,15.352631578947369
3108,KD Karthik,Delhi Capitals,Sharjah Cricket Stadium,0,0,6.142857142857143,15.0,2,0,8.857142857142858
3109,KL Nagarkoti,Delhi Capitals,Sharjah Cricket Stadium,0,0,4.333333333333333,3.0,0,0,11.6
3110,MP Stoinis,Kolkata Knight Riders,Sharjah Cricket Stadium,0,0,20.5,11.3,0,0,10.766666666666666
3111,N Rana,Delhi Capitals,Sharjah Cricket Stadium,1,0,21.571428571428573,30.6,3,0,31.95538395538396
3112,PJ Cummins,Delhi Capitals,Sharjah Cricket Stadium,0,0,2.3333333333333335,6.666666666666667,0,0,15.2
3113,PP Shaw,Kolkata Knight Riders,Sharjah Cricket Stadium,1,0,21.8,45.0,5,0,37.24878048780488
3114,RA Tripathi,Delhi Capitals,Sharjah Cricket Stadium,0,0,15.285714285714286,17.0,0,0,26.5951871657754
3115,RR Pant,Kolkata Knight Riders,Sharjah Cricket Stadium,0,0,22.8,20.6,0,0,27.88018018018018
3116,S Dhawan,Kolkata Knight Riders,Sharjah Cricket Stadium,1,1,33.333333333333336,30.789473684210527,4,0,27.916666666666668
3117,SO Hetmyer,Kolkata Knight Riders,Sharjah Cricket Stadium,0,0,17.6,13.0,0,0,17.966666666666665
3118,SP Narine,Delhi Capitals,Sharjah Cricket Stadium,0,0,11.2,12.0,1,0,13.233333333333334
3119,SS Iyer,Kolkata Knight Riders,Sharjah Cricket Stadium,1,0,32.833333333333336,29.923076923076923,2,0,32.2796157059315
3120,Shivam Mavi,Delhi Capitals,Sharjah Cricket Stadium,0,0,1.0,1.0,0,0,4.033333333333333
3121,Shubman Gill,Delhi Capitals,Sharjah Cricket Stadium,2,0,40.0,32.9,2,0,28.949385155906896
3122,AT Rayudu,Sunrisers Hyderabad,Dubai International Cricket Stadium,1,0,25.333333333333332,31.0,3,1,23.57385620915033
3123,Abdul Samad,Chennai Super Kings,Dubai International Cricket Stadium,0,0,15.2,13.0,0,0,17.43333333333333
3124,Abhishek Sharma,Chennai Super Kings,Dubai International Cricket Stadium,0,0,15.4,33.166666666666664,1,0,28.623076923076923
